,FECHA_TRANSACCION,DISPOSITIVO,HORA,DIFERENCIA
17918,2024-04-20,10000547,18:15:54,4.0
17919,2024-04-20,10000547,18:16:01,7.0
17920,2024-04-20,10000547,18:16:10,9.0
17921,2024-04-20,10000547,18:16:19,9.0
17922,2024-04-20,10000547,18:16:23,4.0
17923,2024-04-20,10000547,18:16:36,13.0
17924,2024-04-20,10000547,18:16:45,9.0
17925,2024-04-20,10000547,18:16:49,4.0
17926,2024-04-20,10000547,18:16:53,4.0
17927,2024-04-20,10000547,18:16:59,6.0
17928,2024-04-20,10000547,18:17:05,6.0
17929,2024-04-20,10000547,18:17:10,5.0
17930,2024-04-20,10000547,18:17:22,12.0
17931,2024-04-20,10000547,18:17:27,5.0
17932,2024-04-20,10000547,18:17:31,4.0
17933,2024-04-20,10000547,18:17:37,6.0
17934,2024-04-20,10000547,18:17:41,4.0
17935,2024-04-20,10000547,18:17:46,5.0
17936,2024-04-20,10000547,18:17:51,5.0
17937,2024-04-20,10000547,18:18:10,19.0
17938,2024-04-20,10000547,18:18:13,3.0
17939,2024-04-20,10000547,18:18:18,5.0
17940,2024-04-20,10000547,18:18:39,21.0
17941,2024-04-20,10000547,18:18:44,5.0
17942,2024-04-20,10000547,18:18:48,4.0
17943,2024-04-20,10000547,18:18:51,3.0
17944,2024-04-20,10000547,18:19:00,9.0
17945,2024-04-20,10000547,18:19:05,5.0
17946,2024-04-20,10000547,18:19:09,4.0
17947,2024-04-20,10000547,18:19:14,5.0
17948,2024-04-20,10000547,18:19:18,4.0
17949,2024-04-20,10000547,18:19:36,18.0
17950,2024-04-20,10000547,18:19:56,20.0
17951,2024-04-20,10000547,18:20:00,4.0
17952,2024-04-20,10000547,18:20:09,9.0
17953,2024-04-20,10000547,18:20:13,4.0
17954,2024-04-20,10000547,18:20:29,16.0
17955,2024-04-20,10000547,18:20:33,4.0
17956,2024-04-20,10000547,18:20:37,4.0
17957,2024-04-20,10000547,18:20:41,4.0
17958,2024-04-20,10000547,18:20:46,5.0
17959,2024-04-20,10000547,18:20:52,6.0
17960,2024-04-20,10000547,18:20:55,3.0
17961,2024-04-20,10000547,18:21:00,5.0
17962,2024-04-20,10000547,18:21:04,4.0
17963,2024-04-20,10000547,18:21:08,4.0
17964,2024-04-20,10000547,18:21:12,4.0
17965,2024-04-20,10000547,18:21:34,22.0
17966,2024-04-20,10000547,18:21:40,6.0
17967,2024-04-20,10000547,18:21:43,3.0
17968,2024-04-20,10000547,18:21:54,11.0
17969,2024-04-20,10000547,18:21:59,5.0
17970,2024-04-20,10000547,18:22:15,16.0
17971,2024-04-20,10000547,18:22:35,20.0
17972,2024-04-20,10000547,18:22:39,4.0
17973,2024-04-20,10000547,18:22:43,4.0
17974,2024-04-20,10000547,18:22:49,6.0
17975,2024-04-20,10000547,18:23:01,12.0
17976,2024-04-20,10000547,18:23:08,7.0
17977,2024-04-20,10000547,18:23:11,3.0
17978,2024-04-20,10000547,18:23:15,4.0
17979,2024-04-20,10000547,18:23:23,8.0
17980,2024-04-20,10000547,18:23:37,14.0
17981,2024-04-20,10000547,18:23:44,7.0
17982,2024-04-20,10000547,18:23:56,12.0
17983,2024-04-20,10000547,18:24:03,7.0
17984,2024-04-20,10000547,18:24:09,6.0
17985,2024-04-20,10000547,18:24:13,4.0
17986,2024-04-20,10000547,18:24:29,16.0
17987,2024-04-20,10000547,18:24:45,16.0
17988,2024-04-20,10000547,18:24:50,5.0
17989,2024-04-20,10000547,18:24:59,9.0
17990,2024-04-20,10000547,18:25:18,19.0
17991,2024-04-20,10000547,18:25:23,5.0
17992,2024-04-20,10000547,18:25:43,20.0
17993,2024-04-20,10000547,18:25:51,8.0
17994,2024-04-20,10000547,18:25:56,5.0
17995,2024-04-20,10000547,18:26:02,6.0
17996,2024-04-20,10000547,18:26:26,24.0
17997,2024-04-20,10000547,18:26:32,6.0
17998,2024-04-20,10000547,18:26:35,3.0
17999,2024-04-20,10000547,18:26:40,5.0
18000,2024-04-20,10000547,18:26:50,10.0
18001,2024-04-20,10000547,18:27:41,51.0
18002,2024-04-20,10000547,18:27:58,17.0
18003,2024-04-20,10000547,18:28:02,4.0
18004,2024-04-20,10000547,18:28:44,42.0
18005,2024-04-20,10000547,18:29:05,21.0
18006,2024-04-20,10000547,18:29:19,14.0
18007,2024-04-20,10000547,18:29:24,5.0
18008,2024-04-20,10000547,18:29:28,4.0
18009,2024-04-20,10000547,18:29:33,5.0
18010,2024-04-20,10000547,18:29:49,16.0
18011,2024-04-20,10000547,18:30:15,26.0
18012,2024-04-20,10000547,18:30:20,5.0
18013,2024-04-20,10000547,18:30:28,8.0
18014,2024-04-20,10000547,18:30:32,4.0
18015,2024-04-20,10000547,18:30:39,7.0
18016,2024-04-20,10000547,18:30:49,10.0
18017,2024-04-20,10000547,18:30:57,8.0
18018,2024-04-20,10000547,18:31:04,7.0
18019,2024-04-20,10000547,18:31:14,10.0
18020,2024-04-20,10000547,18:31:27,13.0
18021,2024-04-20,10000547,18:31:48,21.0
18022,2024-04-20,10000547,18:31:52,4.0
18023,2024-04-20,10000547,18:32:03,11.0
18024,2024-04-20,10000547,18:32:09,6.0
18025,2024-04-20,10000547,18:32:13,4.0
18026,2024-04-20,10000547,18:32:18,5.0
18027,2024-04-20,10000547,18:32:21,3.0
18028,2024-04-20,10000547,18:32:26,5.0
18029,2024-04-20,10000547,18:32:34,8.0
18030,2024-04-20,10000547,18:32:53,19.0
18031,2024-04-20,10000547,18:33:02,9.0
18032,2024-04-20,10000547,18:33:29,27.0
18033,2024-04-20,10000547,18:33:33,4.0
18034,2024-04-20,10000547,18:34:00,27.0
18035,2024-04-20,10000547,18:34:04,4.0
18036,2024-04-20,10000547,18:34:08,4.0
18037,2024-04-20,10000547,18:34:24,16.0
18038,2024-04-20,10000547,18:34:28,4.0
18039,2024-04-20,10000547,18:34:37,9.0
18040,2024-04-20,10000547,18:34:41,4.0
18041,2024-04-20,10000547,18:34:44,3.0
18042,2024-04-20,10000547,18:34:49,5.0
18043,2024-04-20,10000547,18:34:53,4.0
18044,2024-04-20,10000547,18:34:57,4.0
18045,2024-04-20,10000547,18:35:11,14.0
18046,2024-04-20,10000547,18:35:16,5.0
18047,2024-04-20,10000547,18:35:22,6.0
18048,2024-04-20,10000547,18:35:31,9.0
18049,2024-04-20,10000547,18:35:43,12.0
18050,2024-04-20,10000547,18:36:02,19.0
18051,2024-04-20,10000547,18:36:07,5.0
18052,2024-04-20,10000547,18:36:17,10.0
18053,2024-04-20,10000547,18:36:45,28.0
18054,2024-04-20,10000547,18:37:08,23.0
18055,2024-04-20,10000547,18:37:11,3.0
18056,2024-04-20,10000547,18:37:34,23.0
18057,2024-04-20,10000547,18:37:40,6.0
18058,2024-04-20,10000547,18:37:54,14.0
18059,2024-04-20,10000547,18:37:59,5.0
18060,2024-04-20,10000547,18:38:02,3.0
18061,2024-04-20,10000547,18:38:06,4.0
18062,2024-04-20,10000547,18:38:11,5.0
18063,2024-04-20,10000547,18:38:28,17.0
18064,2024-04-20,10000547,18:38:34,6.0
18065,2024-04-20,10000547,18:38:38,4.0
18066,2024-04-20,10000547,18:38:50,12.0
18067,2024-04-20,10000547,18:39:01,11.0
18068,2024-04-20,10000547,18:39:15,14.0
18069,2024-04-20,10000547,18:39:26,11.0
18070,2024-04-20,10000547,18:39:31,5.0
18071,2024-04-20,10000547,18:39:45,14.0
18072,2024-04-20,10000547,18:39:50,5.0
18073,2024-04-20,10000547,18:39:54,4.0
18074,2024-04-20,10000547,18:40:08,14.0
18075,2024-04-20,10000547,18:40:26,18.0
18076,2024-04-20,10000547,18:40:33,7.0
18077,2024-04-20,10000547,18:41:00,27.0
