,FECHA_TRANSACCION,TIEMPO,DISPOSITIVO,DIFERENCIA
506,2024-04-29,17:45:00,10000545,900.0
507,2024-04-29,18:00:00,10000545,900.0
508,2024-04-29,18:15:00,10000545,900.0
509,2024-04-29,18:30:00,10000545,900.0
510,2024-04-29,16:15:00,10000546,900.0
511,2024-04-29,16:30:00,10000546,900.0
512,2024-04-29,16:45:00,10000546,900.0
513,2024-04-29,17:00:00,10000546,900.0
514,2024-04-29,17:15:00,10000546,900.0
515,2024-04-29,17:30:00,10000546,900.0
516,2024-04-29,17:45:00,10000546,900.0
517,2024-04-29,18:00:00,10000546,900.0
518,2024-04-29,18:15:00,10000546,900.0
519,2024-04-29,18:30:00,10000546,900.0
520,2024-04-29,16:15:00,10000547,900.0
521,2024-04-29,16:30:00,10000547,900.0
522,2024-04-29,16:45:00,10000547,900.0
523,2024-04-29,17:00:00,10000547,900.0
524,2024-04-29,17:15:00,10000547,900.0
525,2024-04-29,17:30:00,10000547,900.0
526,2024-04-29,17:45:00,10000547,900.0
527,2024-04-29,18:00:00,10000547,900.0
528,2024-04-29,18:15:00,10000547,900.0
529,2024-04-29,18:30:00,10000547,900.0
530,2024-04-29,16:15:00,10000548,900.0
531,2024-04-29,16:30:00,10000548,900.0
532,2024-04-29,16:45:00,10000548,900.0
533,2024-04-29,17:00:00,10000548,900.0
534,2024-04-29,17:15:00,10000548,900.0
535,2024-04-29,17:30:00,10000548,900.0
536,2024-04-29,17:45:00,10000548,900.0
537,2024-04-29,18:00:00,10000548,900.0
538,2024-04-29,18:15:00,10000548,900.0
539,2024-04-29,18:30:00,10000548,900.0
540,2024-04-29,16:15:00,10001648,900.0
541,2024-04-29,16:30:00,10001648,900.0
542,2024-04-29,16:45:00,10001648,900.0
543,2024-04-29,17:00:00,10001648,900.0
544,2024-04-29,17:15:00,10001648,900.0
545,2024-04-29,17:30:00,10001648,900.0
546,2024-04-29,17:45:00,10001648,900.0
547,2024-04-29,18:00:00,10001648,900.0
548,2024-04-29,18:15:00,10001648,900.0
549,2024-04-29,18:30:00,10001648,900.0
550,2024-04-30,16:15:00,10000543,900.0
551,2024-04-30,16:30:00,10000543,900.0
552,2024-04-30,16:45:00,10000543,900.0
553,2024-04-30,17:00:00,10000543,900.0
554,2024-04-30,17:15:00,10000543,900.0
555,2024-04-30,17:30:00,10000543,900.0
556,2024-04-30,17:45:00,10000543,900.0
557,2024-04-30,18:00:00,10000543,900.0
558,2024-04-30,18:15:00,10000543,900.0
559,2024-04-30,18:30:00,10000543,900.0
560,2024-04-30,16:15:00,10000544,900.0
561,2024-04-30,16:30:00,10000544,900.0
562,2024-04-30,16:45:00,10000544,900.0
563,2024-04-30,17:00:00,10000544,900.0
564,2024-04-30,17:15:00,10000544,900.0
565,2024-04-30,17:30:00,10000544,900.0
566,2024-04-30,17:45:00,10000544,900.0
567,2024-04-30,18:00:00,10000544,900.0
568,2024-04-30,18:15:00,10000544,900.0
569,2024-04-30,18:30:00,10000544,900.0
570,2024-04-30,16:15:00,10000545,900.0
571,2024-04-30,16:30:00,10000545,900.0
572,2024-04-30,16:45:00,10000545,900.0
573,2024-04-30,17:00:00,10000545,900.0
574,2024-04-30,17:15:00,10000545,900.0
575,2024-04-30,17:30:00,10000545,900.0
576,2024-04-30,17:45:00,10000545,900.0
577,2024-04-30,18:00:00,10000545,900.0
578,2024-04-30,18:15:00,10000545,900.0
579,2024-04-30,18:30:00,10000545,900.0
580,2024-04-30,16:15:00,10000546,900.0
581,2024-04-30,16:30:00,10000546,900.0
582,2024-04-30,16:45:00,10000546,900.0
583,2024-04-30,17:00:00,10000546,900.0
584,2024-04-30,17:15:00,10000546,900.0
585,2024-04-30,17:30:00,10000546,900.0
586,2024-04-30,17:45:00,10000546,900.0
587,2024-04-30,18:00:00,10000546,900.0
588,2024-04-30,18:15:00,10000546,900.0
589,2024-04-30,18:30:00,10000546,900.0
590,2024-04-30,16:15:00,10000547,900.0
591,2024-04-30,16:30:00,10000547,900.0
592,2024-04-30,16:45:00,10000547,900.0
593,2024-04-30,17:00:00,10000547,900.0
594,2024-04-30,17:15:00,10000547,900.0
595,2024-04-30,17:30:00,10000547,900.0
596,2024-04-30,17:45:00,10000547,900.0
597,2024-04-30,18:00:00,10000547,900.0
598,2024-04-30,18:15:00,10000547,900.0
599,2024-04-30,18:30:00,10000547,900.0
600,2024-04-30,16:15:00,10000548,900.0
601,2024-04-30,16:30:00,10000548,900.0
